ID_1	COORD_X	COORD_Y	AÑO	PRECIO_OFERTA	PRECIO_INTEGRAL	PERIODO	ESTRATO	BARRIO	UPZ	TIPO_INMUEBLE	BAÑOS	COCINAS	ALCOBAS	UBICACIÓN_LOTE	INFLUENCIA_VIA	ELEVACION_MSNM	TOPOGRAFIA	DENS_POBL	AREA	DIST_CULT	DIST_SUPERM	DIST_HUMEDAL	DIST_SALUD	DIST_COMERCIAL	DIST_RIO	DIST_TRANSMILENIO	DIST_CLUB	DIST_CAI	DIST_EDU	DIST_VIA	DIST_PARQUE
115	97445,125	114713,293	2005	2,8e+07	242109,814	2	2	54	10	1	2	2	6	8	1	2552	1	376,22	115,650000045021	2885,56805346749	2749,89724572149	1115,44785559477	1127,80258296696	1166,01025797307	560,091549363841	3939,00033952708	4375,45613241067	819,608462566048	100,588798835422	214,453434354268	69,2343386966229
116	97362,437	114504,07	2005	2,1e+07	343137,255	2	2	54	10	1	1	1	3	7	1	2552	1	376,22	61,1999999825143	3594,29030186933	3458,61949412333	1380,20556391683	1836,5248313688	1633,45215658908	364,548767470887	4215,06296694254	4672,57882935656	1528,33071096789	916,654079311797	695,681500498416	124,785511098438
117	97667,076	114668,387	2005	1,8e+07	297029,703	2	2	54	10	1	1	1	3	2	1	2551	1	376,22	60,59999999394	2793,51484571927	2657,84403797327	1243,55415238753	846,766052847364	1294,11655476582	710,490148155117	3941,58712059353	4184,5674457237	680,179941802894	253,35488394916	342,559817585021	75,9564778048715
118	97546,645	114705,842	2005	2,6e+07	495238,095	2	2	54	10	0	2	1	3	8	1	2551	1	376,22	52,5000000252404	2802,67566294229	2667,00485519629	1116,68535431979	973,634850915099	1167,24775669809	631,192247951166	3940,23794730798	4311,43622117355	730,312160150108	209,169329634976	215,691042135173	37,9722508330473
119	97585,379	114682,029	2005	3,6e+07	685714,286	2	2	54	10	0	2	1	3	8	1	2551	1	376,22	52,499999978125	2811,3034657779	2675,63265803191	1220,7351487323	941,291252626522	1271,29755111059	648,390849034159	4036,11232454476	4279,09264967493	697,96856186153	158,829684170002	319,740820202861	83,4217252178617
12	98063,166	114867,197	2005	3,5e+07	431034,483	1	2	9	10	1	2	2	4	2	1	2552	1	376,22	81,199999954528	2250,97973036197	2115,30892261597	1972,21451820415	783,496501745982	1580,82657917356	1153,29127770043	4108,46757091943	3794,07178544155	791,284389269776	76,4014250924271	1071,2202133448	121,00584376238
120	97271,2	116695,371	2005	4e+07	629921,26	3	3	56	10	0	2	1	3	2	1	2556	1	376,22	63,499999984125	2429,87833535189	2298,63343784933	2069,31125266623	157,390617443902	1072,62407782068	1910,39889046614	6130,84286848786	4611,36386920716	1278,32272557861	178,02721615683	369,859427598584	83,9899172809996
121	97291,139	116720,04	2005	3,6e+07	419091,967	3	3	56	10	1	2	1	5	2	1	2556	1	376,22	85,9000000827981	2403,57284766381	2272,32795016124	2043,00576497815	131,085129755815	1098,92956550877	1941,89219957134	6157,1483533107	4585,05838438432	1252,01723789052	151,721728468744	343,553942775743	89,9026744977893
122	97649,515	116709,344	2005	9,2e+07	363780,15	3	3	56	10	1	3	3	6	2	1	2555	1	376,22	252,900000178679	1988,69813570914	1857,45323820657	2290,13825385701	534,42094071261	832,436448374971	2206,18842725698	5905,7222168644	4170,18368717781	1655,35304884732	152,656966668999	263,982101430331	123,911995991103
123	96357,255	116842,4	2005	2,8e+07	325203,252	1	2	83	11	1	2	2	4	7	1	2551	1	262,03	86,10000000861	3452,33372123982	3321,08882373726	1815,83784306541	1103,8924708959	909,014290551939	1256,05744145239	6528,91162385208	5633,81932405831	674,273344713463	163,256203311918	904,31522984151	60,9674115190933
124	96381,233	116882,5	2005	2,8e+07	325203,252	4	2	83	11	1	2	1	4	7	1	2552	1	262,03	86,10000000861	3373,53952534453	3242,29462784197	1737,04364717012	1025,09827500061	830,22009465665	1257,35665351757	6540,04328364321	5555,02507365875	685,404948137317	240,831237792088	825,52097944195	107,304219032531
125	96469,968	116832,517	2005	3,5e+07	406504,065	4	2	83	11	1	2	1	4	7	1	2552	1	262,03	86,10000000861	3318,60131067727	3187,35641317471	1761,37825343087	970,160060333353	854,5547009174	1359,18093714583	6595,02060887254	5500,08694352051	740,382204952747	304,099442317296	770,582849303707	90,0577042057469
126	96471,527	116838,301	2005	3,5e+07	406504,065	4	2	83	11	1	2	1	4	7	1	2552	1	262,03	86,10000000861	3312,61097585706	3181,3660783545	1755,38791861065	964,169725513137	848,564366097185	1357,82323822398	6589,03027405878	5494,09660870675	734,391870132531	298,10910749708	764,59251448995	95,5404470202753
127	96915,562	116783,189	2005	3,2e+07	586295,346	3	3	56	10	0	2	1	3	1	1	2554	1	376,22	54,5800000261302	2920,18501105261	2788,94011355005	1750,64265307471	462,645894855232	921,586997425403	1744,29334207087	6118,1804472359	5069,62751945035	793,485814774269	476,595719860811	372,166472757219	160,280350210729
128	97010,859	116773,267	2005	3,1e+07	567973,617	3	3	56	10	0	2	1	3	1	1	2554	1	376,22	54,5799999720762	2726,62636655548	2595,38146905292	1952,11848145412	261,170066475829	1123,06282580481	1793,6169665078	6209,16634984646	4908,112014701	994,961643153672	426,065991377838	536,239066882154	76,0401554118852
129	97109,321	116961,984	2005	3,3e+07	604395,604	3	3	56	10	0	2	1	3	1	1	2555	1	376,22	54,6000000357382	2550,55873163358	2419,31383413102	1821,72064576677	202,117481289657	992,664990117457	1906,8750953806	6461,46173017318	4732,04429019221	918,814626845052	367,013406191665	350,187885498437	158,042958998948
13	98060,59	114862,337	2005	3e+07	541516,245	1	2	9	10	1	1	1	2	2	1	2552	1	376,22	55,40000004986	2254,73430794924	2119,06350020324	1941,537435259	752,819418800837	1584,58115676083	1148,71117920002	4077,79044280872	3797,82641234619	795,038966857047	80,1560026796981	1040,54308523409	122,148297330947
130	96930,384	116881,619	2005	3,2e+07	586080,586	3	3	56	10	0	2	1	3	2	1	2552	1	376,22	54,6000000075075	2721,64145178914	2590,39655428658	1650,6379256112	373,200201445222	821,582269961891	1760,78950586253	6316,72399289627	4903,12702131364	747,731906689486	376,590992397299	272,161762641883	60,7549559935975
131	97012,114	116875,269	2005	3,2e+07	586080,586	3	3	56	10	0	2	1	3	2	1	2554	1	376,22	54,6000000075075	2640,47509443555	2509,23019693299	1731,80428296479	292,03384409163	902,748627315483	1839,9795495825	6397,89038045856	4821,96063375136	828,898264043078	456,929768993639	353,32815020417	95,7251934121346
132	97246,381	116872,191	2005	3,4e+07	648854,962	3	3	56	10	0	2	1	3	1	1	2555	1	376,22	52,3999999864376	2344,1560902453	2212,91119274274	2067,26654922315	155,345914000823	1195,23236239805	2020,90242823739	6268,51803405299	4525,64160380406	1276,27802213553	143,388711935861	280,365744434911	130,163097109949
133	97265,944	116793,495	2005	2,4e+07	502092,05	3	3	56	10	0	1	1	2	2	1	2555	1	376,22	47,8000000199167	2384,38170974113	2253,13681223856	2007,542441366	95,6218061436674	1177,69882964376	1976,36386619643	6235,91758768273	4565,86730004227	1216,55391427838	116,060838102988	324,362858433685	81,5518049306839
134	95905,237	116380,921	2005	5,2e+07	294784,58	3	2	105	11	1	2	2	6	2	1	2549	1	262,03	176,400000298523	4174,04930266556	4042,804405163	2389,58417849541	708,120009228222	1726,91580109254	857,630054529703	6057,60261976326	6355,53507353822	1046,27798155514	97,3608813552775	1626,03097932142	77,874419957725
135	95910,471	116329,982	2005	4,5e+07	317796,61	3	2	105	11	1	2	2	6	2	1	2550	1	262,03	141,60000007552	4159,0217325201	4027,77683501753	2408,36049229264	635,503320303684	1745,69211488977	827,82671487614	6060,33777022274	6340,50734482815	1031,25041140968	141,871417154969	1611,00325061135	69,2740930550859
136	95940,707	116361,232	2005	4,5e+07	228658,537	3	2	105	11	1	2	2	6	2	1	2551	1	262,03	196,799999643136	4127,43530820312	3996,19041070055	2364,64226004727	648,656709949448	1701,9738826444	871,089863470248	6129,5614284791	6308,92100791265	999,663987092694	155,024806800734	1579,41691369585	77,3382166213159
137	96036,014	116317,703	2005	3,4e+07	451527,224	3	2	105	11	1	2	2	4	2	1	2550	1	262,03	75,3000000726424	4048,58063271339	3917,33573521083	2410,85758391789	563,201994671367	1646,95563443788	908,568626315091	6213,30669434876	6230,06639495604	920,809311602971	36,0526848756113	1500,56230073924	56,0641217654941
138	96095,533	116336,545	2005	3e+07	512820,513	3	2	105	11	1	2	2	4	2	1	2550	1	262,03	58,499999979525	3989,14943945667	3857,9045419541	2401,08407658358	569,473526246541	1587,52444118116	956,781307413791	6271,12849744166	6170,63512736145	861,378118346245	26,7359132410649	1441,13103314465	104,48719356926
139	95873,886	116076,485	2005	2,9e+07	439393,939	3	2	105	11	1	1	1	3	2	1	2549	1	262,03	66,0000000591724	4228,95392481556	4097,709027313	2658,52212565731	679,505670643897	1978,67002767621	618,22909806353	6006,48050871836	6410,43961589682	1101,18260370514	104,504070717102	1680,93552168002	60,9961132403019
14	98096,612	115054,181	2005	2,6e+07	559139,785	1	2	9	10	1	1	1	2	7	1	2554	1	376,22	46,4999999955288	2021,19306318803	1885,52225544203	2219,69684047493	1010,95502301177	1442,6865446986	1280,58627821388	4355,94978325799	3673,42870662762	524,030890210386	204,493594251274	960,544953099875	169,671009606376
140	95891,047	116134,682	2005	6,5e+07	250771,605	3	2	105	11	1	3	3	10	2	1	2550	1	262,03	259,199999936197	4182,9249239843	4051,68002648173	2612,49312482604	633,476669812629	1925,76579399475	677,18534008363	6051,43224165854	6364,41054979337	1055,15360287387	95,7814316783756	1634,90645557657	93,931321406211
141	96095,537	116193,591	2005	4,5e+07	471204,188	3	2	105	11	1	2	2	4	2	2	2549	1	262,03	95,5000000976222	3907,56442237033	3776,31952486777	2337,13262321208	384,046010153919	1778,50270948885	842,381522412612	6266,70276180886	6089,04997789327	779,793101259912	135,602758245184	1359,54588367646	38,974068979259
142	95750,516	116146,597	2005	2e+07	266311,585	3	2	105	11	1	2	1	4	2	1	2551	1	262,03	75,0999998742075	4360,73603398825	4229,49113648569	2669,63211332755	811,287779816586	2006,96373592468	588,594530481356	5865,80382033731	6542,22164852	1232,96471287783	157,214699452982	1812,7175543032	99,6549766976872
143	95718,768	116204,759	2005	4,8e+07	401002,506	3	2	105	11	1	2	2	6	2	1	2548	1	262,03	119,700000079301	4389,52022122405	4258,27532372149	2611,67026382094	840,071967052383	1949,00188641807	601,122137325344	5836,36933691944	6571,00589140925	1261,74890011363	203,175575369897	1841,50179719245	56,3927441867642
144	95807,313	116174,181	2005	4e+07	405268,49	3	2	96	11	1	2	1	4	2	1	2551	1	262,03	98,7000000912975	4297,5146058241	4166,26970832154	2636,60382294448	748,066351652434	1973,93544554161	650,785290147653	5928,37496789517	6479,00026043352	1169,74328471368	111,169959969948	1749,49616621672	87,5968005189406
145	95823,827	116196,791	2005	5,4e+07	738714,09	3	2	96	11	1	2	1	3	2	1	2548	1	262,03	73,1000000284278	4265,52426829289	4134,27937079033	2599,71003572442	716,076014121223	1937,04165832155	677,396483481116	6037,41131278343	6447,00997157773	1137,75294718247	147,008179434519	1717,50587736093	82,8452907171663
146	96311,882	116380,577	2005	2,8e+07	608695,652	3	2	105	11	0	1	1	2	1	1	2550	1	262,03	46,0000000131429	3781,3910728756	3650,14617537304	2480,73855304233	1083,90035357104	1573,91500052887	1096,03341254925	6508,25825597775	5962,87678725391	653,61975176518	430,229578778487	1233,37269303711	70,0578311713133
147	97677,586	114306,327	2005	71200000	422050,978	3	2	87	10	1	1	1	4	2	1	2553	1	376,22	168,700000027011	3064,63136717672	2928,96055943072	1551,60514894973	834,169083269375	1693,19071512463	520,37395039173	3257,6103731513	3694,06616603489	993,77430050461	440,071035906305	168,821764317315	188,676155107285
148	96213,55	116979,454	2005	3e+07	598802,395	4	3	83	11	0	2	1	3	5	1	2550	1	262,03	50,100000017535	3556,27608457357	3425,03118707101	1721,25727680457	1207,83483422965	1012,95665388569	1063,7769685802	6653,59497843049	5737,76169771363	896,721792102795	158,544248136218	1008,25760349683	137,743198892212
149	96283,05	116992,022	2005	3,5e+07	563607,085	4	3	83	11	0	2	1	3	5	1	2550	1	262,03	62,1000000381471	3500,58870052674	3369,34380302418	1776,94466085141	1152,14745018282	957,269269838857	1120,17571402545	6695,67226342117	5682,07374649812	841,03440805596	116,432490412224	952,569652281318	128,574674383026
15	98145,295	115060,978	2005	3,5e+07	553797,468	1	2	9	10	1	2	2	4	2	1	2554	1	376,22	63,200000040448	2030,48671165239	1894,81590390639	2203,2518634413	994,510045978141	1393,5589945524	1324,48602143531	4339,50489626343	3609,79497017001	533,324538674748	144,062230458107	969,838693748502	200,263711304828
150	96226,07	117033,693	2005	2,8e+07	449438,202	4	3	83	11	0	2	1	3	5	1	2549	1	262,03	62,300000034265	3493,14821187648	3361,90331437392	1569,15723218887	1144,70696153256	906,488854785999	1050,84998397283	6687,47471561724	5674,63376687923	1043,336233817	192,42401214621	942,967132943529	119,150117112141
151	96352,227	116976,146	2005	3,4e+07	606060,606	4	3	83	11	0	2	1	3	5	1	2552	1	262,03	56,10000000561	3419,30237566565	3288,05747816309	1782,80649749124	1070,86112532173	875,982944977774	1189,50881131915	6616,44879135224	5600,78797962283	761,810449013121	188,614890906601	871,283885406027	136,114984482412
152	96397,253	116935,136	2005	3,5e+07	562700,965	4	3	83	11	0	2	1	3	5	1	2551	1	262,03	62,1999999591257	3366,60693273838	3235,36203523582	1730,11105456397	1018,16568239446	823,287502050498	1247,75055726062	6563,75337060102	5548,09255887161	709,115006085845	241,310333833876	818,588464654811	155,417820581948
153	96418,805	116992,683	2005	34500000	711340,206	4	3	83	11	0	1	1	2	5	1	2551	1	262,03	48,5000000126522	3245,16811092166	3113,9232134191	1584,07246501638	896,726860577737	677,248912502915	1243,67721380747	6701,09680759948	5426,65367803046	846,458458220813	126,793653902811	697,149583813658	94,8924210704648
154	97160,053	117296,678	2005	3,2e+07	623903,295	4	3	101	9	0	2	1	3	1	1	2554	1	174,6	51,2899999991185	2709,11388514352	2595,50026076716	1341,51208130937	777,731626845029	674,226569523881	1818,43425358522	6734,63405530448	4908,23075968209	1165,64199212343	420,418614688758	244,287135311366	85,2383549731509
155	97208,122	117275,643	2005	3,1e+07	604406,317	4	3	101	9	0	2	1	3	1	1	2555	1	174,6	51,2900000017703	2657,25260487623	2543,63898049987	1393,37336157666	829,592907112318	726,08784979117	1869,98120570726	6786,49522300859	4856,36959197799	1217,50327239072	368,557334421468	296,148303015469	120,294691580291
156	97552,126	117667,557	2005	3,5e+07	484094,053	4	2	101	9	1	2	2	3	2	1	2555	1	174,6	72,2999999341037	3064,09515925668	2950,48153488032	1274,71362897501	1328,59750706948	1064,57715145848	2001,85724260522	7250,88171579608	5263,21214569804	1848,44138605688	123,331623970785	853,733243096668	105,296786536741
